assessment_id,prediction,quantity,OPH_value,public_source,public_value,comparison_metric,assessment,source_ids
A1,Scalar tilt exact relation,n_s,0.964841143031,Planck 2018,0.965 ± 0.004,-0.040 sigma,PASS / strongest exact-now target,SRC_PLANCK2018; SRC_CODATA2022_ARXIV
A2,Red repair dimension,eta_R,0.035158856969,Planck-derived 1-n_s,0.035 ± 0.004,+0.040 sigma,PASS as mirror of A1,SRC_PLANCK2018
A3,Exact IR kernel scale,"q_IR, ell_IR","0.250000, 32",Planck PR3 low-l TT/TE/EE diagonal proxy,Delta chi2=+9.242; Delta AIC=-7.242; Delta BIC=-4.811,model-selection improvement,PASS diagnostic; official likelihood needed,SRC_PLANCK_PR3_ESA; SRC_PLANCK_PR3_IRSA
A4,IR angular scale,"theta_IR, k_IR",5.625000 deg; 0.00231884 Mpc^-1,Planck low-l anomaly scale,ell range 2..29 public spectra,scale compatible with low-l only; acoustic ratios ~1 at ell>=100,PASS diagnostic,SRC_PLANCK_PR3_ESA
A5,TT quadrupole D2,D_2^TT,scalar=800.088 uK^2; scalar×parity=314.810 uK^2,Planck PR3 observed,225.895 ± 332.716 uK^2; LCDM=1022.838,LCDM +2.395σ; scalar +1.726σ; scalar×parity +0.267σ,PASS for low quadrupole,SRC_PLANCK_PR3_IRSA
A6,Odd/even TT ratio,R_OE^TT(2..29),scalar=1.011405; scalar×parity=1.216064; fitted=1.278713,Planck PR3 observed,1.310820; LCDM=1.002724,moves toward observed parity excess,PASS diagnostic; map-space required,SRC_PLANCK_PR3_IRSA
A7,Acoustic preservation,TT ratio at ell=220,0.999999338,Planck/LCDM acoustic peak region,first acoustic peak around ell≈220,-0.000066% ratio shift,PASS,SRC_PLANCK_PR3_ESA
A8,Tensor amplitude on scalar-only branch,r_0.05,0,BICEP/Keck BK18,<0.036 at 95% CL,compatible by construction,PASS limit; tensor branch open,SRC_BICEP_KECK
A9,Neutrino mass sum,Sigma m_nu,0.090011929645 eV,Planck+BAO / DESI DR2,<0.12 eV; <0.064 eV LCDM; <0.16 eV w0wa,0.75× Planck+BAO; 1.41× DESI LCDM; 0.56× DESI w0wa,MIXED / high-value falsifier,SRC_PLANCK2018; SRC_DESI_DR2
A10,Matter/baryon ratio,rho_A/rho_b,5.363470441,Planck density ratio,5.357142857 ± 0.050645345,+0.125 sigma,PASS compressed check,SRC_PLANCK2018
A11,Late structure amplitude,S8,0.828924037,ACT+Planck CMB lensing,0.831 ± 0.023,-0.090 sigma,PASS compressed check,SRC_ACT_DR6
A12,Galaxy acceleration scale,a0_eff,1.179018696e-10 m/s^2,SPARC RAR literature,tight RAR with 0.057 dex residual scatter in individual-galaxy fits,needs source-level re-fit for exact pull,PROMISING / incomplete,SRC_SPARC_RAR; SRC_SPARC_FITS
A13,Coherent-matter susceptibility,chi_nu^can,0.934300639489386,No public benchmark,near-future dedicated balance experiment,not yet public-data comparable,LAB FALSIFIER,OPH chi_nu susceptibility note; OPH anti-gravity protocol draft
