domain,quantity,OPH_prediction_or_model,OPH_value,public_comparator,public_value,public_uncertainty_1sigma,difference_OPH_minus_public,comparison_metric,metric_value,assessment,claim_status,public_source_url,notes
Primary CMB,Scalar spectral index / red repair tilt,n_s = 1 - eta_R with eta_R = 0.035,0.965,Planck 2018 base-LCDM n_s,0.965,0.004,0.0,pull_sigma,0.0,Matches Planck target by construction; next step is finite-patch derivation.,"target mapping, not independent fit",https://arxiv.org/abs/1807.06209,Do not call this a derived success until eta_R is produced by simulator/freezeout theory.
Background,Anomaly-to-baryon density ratio,rho_A/rho_b from OPH dark-sector compressed row,5.363470441,Planck Omega_c h^2 / Omega_b h^2,5.357142857142857,0.050645344943458515,0.006327583857142827,pull_sigma,0.12493910080397456,Excellent compressed-background match.,compressed diagnostic,https://arxiv.org/abs/1807.06209,"Uses Planck density ratio, not a full CMB likelihood."
Background,Omega_m,OPH compressed CAMB row,0.315905206,Planck 2018 Omega_m,0.315,0.007,0.0009052059999999917,pull_sigma,0.12931514285714168,Inside Planck 1 sigma.,compressed diagnostic,https://arxiv.org/abs/1807.06209,Requires full likelihood to upgrade.
Growth,sigma_8,OPH compressed CAMB row,0.807787204,Planck 2018 sigma_8,0.811,0.006,-0.0032127960000000177,pull_sigma,-0.535466000000003,Inside Planck 1 sigma.,compressed diagnostic,https://arxiv.org/abs/1807.06209,Requires full likelihood and covariance-aware comparison.
CMB lensing/growth,S_8,OPH compressed CAMB row,0.828924043,ACT+Planck CMB lensing S_8,0.831,0.023,-0.0020759569999999616,pull_sigma,-0.09025899999999834,Inside ACT+Planck lensing 1 sigma.,compressed diagnostic,https://arxiv.org/abs/2304.05203,"This is CMB lensing, not low-z weak-lensing S8."
Galaxy cross-check,Acceleration scale a0,OPH Z6/Poisson a0_eff,1.179018696e-10,RAR characteristic acceleration scale,1.2e-10,2.4e-11,-2.0981304000000043e-12,pull_sigma_approx,-0.08742210000000018,Close to empirical RAR/MOND scale.,cross-dataset diagnostic,https://arxiv.org/abs/1609.05917,"Included as dark-sector consistency check, not a CMB-only observable."
Low-ell TT,Reference IR kernel objective,"q_IR=0.15, ell_IR=6 predeclared reference",8190.049203499077,LCDM exact-low + high-l guardrail objective,8190.2344486859265,,-0.18524518684989744,objective_improvement_vs_LCDM,0.1852451868489879,Very small but positive improvement; no fitted-parameter penalty.,diagnostic likelihood proxy,https://esdcdoi.esac.esa.int/doi/html/data/astronomy/planck/Cosmology.html,"Full-sky diagonal TT power-estimator proxy, not official Planck low-ell likelihood."
Low-ell TT,Current exact guardrailed IR kernel,"q_IR=0.117448, ell_IR=29.287",8187.222648337823,LCDM exact-low + high-l guardrail objective,8190.2344486859265,,-3.0118003481038613,objective_improvement_vs_LCDM,3.0118003481038613,Positive objective improvement but AIC/BIC do not beat LCDM after two-parameter penalty.,current best isotropic target,https://esdcdoi.esac.esa.int/doi/html/data/astronomy/planck/Cosmology.html,low_exact improvement=3.600; high-l penalty=0.588; deltaAIC=0.988; deltaBIC=11.167.
Low-ell TT + parity,Current exact guardrailed IR+parity angular template,"q_IR=0.113079, ell_IR=29.739, epsilon_P=-0.98, ell_P=4.621",8181.138833255106,LCDM exact-low + high-l guardrail objective,8190.2344486859265,,-9.095615430820544,objective_improvement_vs_LCDM,9.095615430820544,"Best low-ell diagnostic; slight AIC win, BIC fail due four parameters.",angular-covariance target; needs map-space test,https://esdcdoi.esac.esa.int/doi/html/data/astronomy/planck/Cosmology.html,low_exact improvement=9.721; high-l penalty=0.625; deltaAIC=-1.096; deltaBIC=19.261.
Low-ell TT,Superseded Gaussian-proxy IR fit,"q_IR=0.244555, ell_IR=33.615",8194.015969363183,LCDM exact-low + high-l guardrail objective,8190.2344486859265,,3.7815206772565944,objective_improvement_vs_LCDM,-3.7815206772565935,Fails the newer exact guardrail despite earlier Gaussian chi2 gain; keep only as historical diagnostic.,superseded diagnostic,https://esdcdoi.esac.esa.int/doi/html/data/astronomy/planck/Cosmology.html,"This is the v0.4/v0.5 low-ell diagonal Gaussian proxy target, not the current guardrailed target."
