prediction_id,quantity,OPH_value,public_source_value,public_source,comparison_metric,numeric_result,assessment,notes
S1,Scalar tilt / red repair dimension,eta_R=0.035158856969; n_s=0.964841143031,Planck 2018 n_s=0.965±0.004,Planck 2018 cosmological parameters,Gaussian pull in n_s,-0.040 sigma,PASS as exact target; not yet independent,Finite patch simulations still need to derive eta_R rather than target Planck n_s.
S2,Primordial tensor amplitude,r=0 on scalar-only v0.8 branch,BICEP/Keck r_0.05 < 0.036 at 95% C.L.,BICEP/Keck XIII,upper-limit compatibility,0 / 0.036 = 0,PASS by construction; open tensor branch,"If OPH derives a tensor repair channel later, it must remain below this limit."
S3,Exact scalar IR kernel scale,q_IR=0.250; ell_IR=32; k_IR=0.00231884 Mpc^-1,Public Planck PR3 TT low-l residuals,Planck PR3 spectra archive,low-l TT+TE+EE diagonal proxy,Delta chi2=9.242; Delta AIC=-7.242; Delta BIC=-4.811,PASS diagnostic,"Exact q=1/4, ell=32 is close to the fitted TT lock and improves diagonal public low-l proxy."
S4,TT low-l exact scalar kernel,OPH exact scalar IR kernel,Planck PR3 TT ell=2..29,Planck PR3 spectra archive,diagonal chi2 improvement,Delta chi2=10.590,PASS diagnostic,This is the strongest CMB-specific scalar result; not an official likelihood.
S5,TE low-l direction,same exact scalar IR kernel,Planck PR3 TE ell=2..29,Planck PR3 spectra archive,diagonal chi2 improvement,Delta chi2=0.465,WEAK PASS / directionally OK,TE improves only mildly; useful cross-check but not decisive.
S6,EE low-l pressure,same exact scalar IR kernel,Planck PR3 EE ell=2..29,Planck PR3 spectra archive,diagonal chi2 improvement,Delta chi2=-1.814,PRESSURE POINT,Fixed-amplitude EE worsens; angular/record-sector covariance or reionization treatment must be tested.
S7,TT quadrupole D2,scalar=800.088 uK^2; scalar×parity=314.810 uK^2,Planck PR3 D2=225.895±332.716 uK^2; LCDM=1022.838,Planck PR3 spectra archive,model-minus-observed pull,LCDM=+2.395σ; scalar=+1.726σ; scalar×parity=+0.267σ,PASS diagnostic for low quadrupole,"Parity column is angular covariance diagnostic, not scalar primordial power."
S8,TT octopole D3,scalar=768.771 uK^2; scalar×parity=1131.913 uK^2,Planck PR3 D3=936.920±831.389 uK^2; LCDM=976.420,Planck PR3 spectra archive,model-minus-observed pull,LCDM=+0.048σ; scalar=-0.202σ; scalar×parity=+0.235σ,MIXED,Scalar suppresses D3 too much relative to D2; angular parity helps odd/even structure.
S9,Odd/even TT ratio 2..29,exact scalar=1.011405; exact scalar×parity=1.216064,Planck PR3 observed=1.310820; LCDM=1.002724,Planck PR3 spectra archive,ratio comparison,observed/LCDM=1.307,PASS diagnostic for parity class; not final significance,Needs masked SMICA/NILC/Commander/SEVEM map-space Monte Carlo.
S10,Acoustic peak preservation at ell=220,TT ratio=0.999999338,Planck acoustic region / LCDM TT peak,Planck PR3 spectra archive + CAMB transfer,fractional shift,-0.000066%,PASS,Low-k kernel leaves first acoustic peak essentially unchanged.
C1,Matter-to-baryon ratio,rho_A/rho_b=5.363470441,Planck Omega_c h^2/Omega_b h^2=5.357142857±0.050645345,Planck 2018 cosmological parameters,Gaussian pull,+0.125σ,PASS compressed check,Compressed background check; does not replace full likelihood.
C2,Omega_m,0.315905206,0.315±0.007,Planck 2018 cosmological parameters,Gaussian pull,+0.129σ,PASS compressed check,
C3,sigma8,0.807787204,0.811±0.006,Planck 2018 cosmological parameters,Gaussian pull,-0.535σ,PASS compressed check,
C4,S8 vs ACT+Planck CMB lensing,0.828924037,ACT+Planck lensing S8=0.831±0.023,ACT DR6 lensing,Gaussian pull,-0.090σ,PASS compressed check,CMB lensing benchmark; low-redshift weak lensing remains a separate tension test.
C5,Sum of neutrino masses,Sigma m_nu=0.090011929645 eV,Planck+BAO <0.12 eV; DESI+CMB LCDM <0.064 eV; DESI+CMB w0wa <0.16 eV,Planck 2018 + DESI DR2,upper-limit comparison,0.750 of Planck+BAO limit; 1.406 of DESI LCDM limit; 0.563 of DESI w0wa limit,MIXED,"Compatible with Planck+BAO and DESI w0wa, in tension with DESI+CMB LCDM upper limit."
